;Blanco;43.2922;GIPUZKOA;Obras;Euskadi;2007-12-05 09:34:25;25;IRUN;Obras;SS;A-8;25;-2.0169;42
Usurbil;Blanco;43.28809;GIPUZKOA;Obras;Euskadi;2007-12-05 09:15:07;27;IRUN;Obras;SS;A-8;27;-2.03578;60
Zumaia;Blanco;43.27773;GIPUZKOA;Obras;Euskadi;2007-12-05 09:13:49;46;CANTABRIA;Obras;SS;A-8;46;-2.24759;43
;Blanco;43.18735;GIPUZKOA;Obras;Euskadi;2007-12-05 07:06:00;72;IRUN;Obras;SS;A-8;72;-2.459319;39
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-04 21:21:04;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
;Blanco;43.2867;GIPUZKOA;Obras;Euskadi;2007-12-04 10:18:34;26;CANTABRIA;Obras;SS;A-8;26;-2.02466;42
;Blanco;43.27045;GIPUZKOA;Obras;Euskadi;2007-12-04 08:31:06;48;CANTABRIA;Obras;SS;A-8;48;-2.26732;93
;Blanco;43.25931;GIPUZKOA;Obras;Euskadi;2007-12-04 07:49:51;50;IRUN;Obras;SS;A-8;50;-2.28653;94
;Blanco;43.25931;GIPUZKOA;Obras;Euskadi;2007-12-04 07:49:51;50;IRUN;Obras;SS;A-8;50;-2.28653;94
Mendaro;Amarillo;43.25757;GIPUZKOA;Obras;Euskadi;2007-12-04 07:07:39;61;CANTABRIA;Obras;SS;A-8;61;-2.38525;67
;Blanco;43.25757;GIPUZKOA;Obras;Euskadi;2007-12-04 07:07:39;61;CANTABRIA;Obras;SS;A-8;61;-2.38525;67
;Blanco;43.25757;GIPUZKOA;Obras;Euskadi;2007-12-04 07:07:39;61;CANTABRIA;Obras;SS;A-8;61;-2.38525;67
;Blanco;43.31109;GIPUZKOA;Obras;Euskadi;2007-12-03 21:02:55;17;CANTABRIA;Obras;SS;A-8;17;-1.93938;18
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-03 21:02:55;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
;Amarillo;43.27773;GIPUZKOA;Obras;Euskadi;2007-12-03 08:55:50;46;CANTABRIA;Obras;SS;A-8;46;-2.24759;43
Zumaia;Blanco;43.25931;GIPUZKOA;Obras;Euskadi;2007-12-03 08:25:22;50;IRUN;Obras;SS;A-8;50;-2.28653;94
Mutriku;Blanco;43.22744;GIPUZKOA;Obras;Euskadi;2007-12-03 07:09:19;65;CANTABRIA;Obras;SS;A-8;65;-2.40304;37
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-02 23:23:16;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-02 23:23:16;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Usurbil;Blanco;43.28809;GIPUZKOA;Obras;Euskadi;2007-12-02 08:18:14;27;IRUN;Obras;SS;A-8;27;-2.03578;60
Donostia-San Sebastián;Blanco;43.29835;GIPUZKOA;Obras;Euskadi;2007-12-02 08:17:04;24;IRUN;Obras;SS;A-8;24;-2.00874;75
Donostia-San Sebastián;Amarillo;43.29835;GIPUZKOA;Obras;Euskadi;2007-12-01 09:06:52;24;IRUN;Obras;SS;A-8;24;-2.00874;75
Donostia-San Sebastián;Amarillo;43.29835;GIPUZKOA;Obras;Euskadi;2007-12-01 09:06:52;24;IRUN;Obras;SS;A-8;24;-2.00874;75
;Amarillo;43.28809;GIPUZKOA;Obras;Euskadi;2007-12-01 08:29:10;27;IRUN;Obras;SS;A-8;27;-2.03578;60
Donostia-San Sebastián;Amarillo;43.29852;GIPUZKOA;Obras;Euskadi;2007-12-01 09:06:52;24;CANTABRIA;Obras;SS;A-8;24;-2.0086;75
;Amarillo;43.28809;GIPUZKOA;Obras;Euskadi;2007-12-01 08:29:10;27;IRUN;Obras;SS;A-8;27;-2.03578;60
;Amarillo;43.29291;GIPUZKOA;Obras;Euskadi;2007-12-01 08:28:01;25;CANTABRIA;Obras;SS;A-8;25;-2.016993;42
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-11-30 20:40:20;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Zumaia;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-11-30 11:47:17;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Zumaia;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-11-30 11:47:17;43;IRUN;Obras;SS;A-8;43;-2.2153;24
;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-11-30 11:47:17;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Zumaia;Blanco;43.27346;GIPUZKOA;Obras;Euskadi;2007-11-30 11:46:36;47;CANTABRIA;Obras;SS;A-8;47;-2.25627;83
Mendaro;Blanco;43.26376;GIPUZKOA;Obras;Euskadi;2007-11-30 07:36:16;60;CANTABRIA;Obras;SS;A-8;60;-2.3773;86
Errenteria;Blanco;43.30757;GIPUZKOA;Obras;Euskadi;2007-11-29 22:23:06;12;CANTABRIA;Obras;SS;A-8;12;-1.884196;25
Errenteria;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-11-29 21:33:30;14;IRUN;Obras;SS;A-8;14;-1.90561;133
